Month,Transect,Shoot,Subshoot,Total leaves,Leaf,Prev,OldArea.mm2,NewArea.mm2,Notes,mm2.l.d
June,A,19,Main,3,2,1,2001.868,254.821,,42.47016667
June,A,19,Main,3,1,0,636.625,352.77,,58.795
June,A,20,Main,3,3,1,1955.847,89.39,,14.89833333
June,A,20,Main,3,2,1,1502.322,313.532,One very small lesion?,52.25533333
June,A,20,Main,3,1,0,457.41,257.358,,42.893
June,A,21,Main,5,5,1,507.662,0,,0
June,A,21,Main,5,4,1,779.712,0,,0
June,A,21,Main,5,3,1,940.537,5.354,,0.892333333
June,A,21,Main,5,2,1,597.642,18.699,,3.1165
June,A,21,Main,5,1,1,186.251,19.122,,3.187
June,A,22,Baby,3,3,1,562.512,103.095,,17.1825
June,A,22,Baby,3,2,0,78.241,188.088,,31.348
June,A,22,Baby,3,1,0,0,82.007,,13.66783333
June,A,22,Main,6,6,1,3491.98,55.035,,9.1725
June,A,22,Main,6,5,1,3998.779,58.526,,9.754333333
June,A,22,Main,6,4,1,3163.692,215.549,,35.92483333
June,A,22,Main,6,3,0,2667.92,586.005,,97.6675
June,A,22,Main,6,2,0,1297.876,644.949,,107.4915
June,A,22,Main,6,1,0,0,272.735,,45.45583333
June,A,23,Baby,1,1,0,318.497,17.496,,2.916
June,A,23,Main,4,4,1,3779.305,0,,0
June,A,23,Main,4,3,1,3402.68,171.049,,28.50816667
June,A,23,Main,4,2,0,2201.537,501.14,White patches and damage but not lesions,83.52333333
June,A,23,Main,4,1,0,931.543,521.195,,86.86583333
June,A,25,Main,5,5,1,1189.658,0,,0
June,A,25,Main,5,4,1,2144.915,46.291,,7.715166667
June,A,25,Main,5,3,1,1255.302,0,,0
June,A,25,Main,5,2,0,1693.095,435.945,,72.6575
June,A,25,Main,5,1,0,542.924,443.517,,73.9195
June,A,26,Baby,2,2,0,538.085,78.704,,13.11733333
June,A,26,Baby,2,1,0,0,108.981,,18.1635
June,A,26,Main,4,4,0,2597.797,31.444,,5.240666667
June,A,26,Main,4,3,1,2665.457,210.785,,35.13083333
June,A,26,Main,4,2,0,2078.113,485.27,,80.87833333
