type,month,site,file_name,blade_num,prevelance,severity,lesion_area,healthy_area,correct_num
Final,June,B,In Situ_Final June__B13.tif,0,1,6.864573952,1084.354899,14712.03548,FALSE
Final,June,B,In Situ_Final June__B12.tif,0,0,0,0,1823.787969,FALSE
Final,June,B,In Situ_Final June__B10.tif,0,1,3.106463285,245.1731155,7647.182049,FALSE
Final,June,B,In Situ_Final June__B11.tif,0,1,6.150097578,337.3766304,5148.3352,FALSE
Final,June,B,In Situ_Final June__B29.tif,0,1,24.16896504,1758.448382,5517.197799,FALSE
Final,June,B,In Situ_Final June__B15.tif,0,1,1.305388739,54.19707072,4097.598413,FALSE
Final,June,B,In Situ_Final June__B14.tif,0,1,18.98863942,1307.687028,5578.994001,FALSE
Final,June,B,In Situ_Final June__B28.tif,0,1,15.47202957,1754.689266,9586.352053,FALSE
Final,June,B,In Situ_Final June__B16.tif,0,1,0.991996034,97.5644352,9737.5994,FALSE
Final,June,B,In Situ_Final June__B17.tif,0,1,7.674433763,734.4874323,8836.087479,FALSE
Final,June,B,In Situ_Final June__B26.tif,0,1,24.87345349,3213.015998,9704.434323,FALSE
Final,June,B,In Situ_Final June__B27.tif,0,1,1.282560974,88.5037248,6812.043428,FALSE
Final,June,B,In Situ_Final June__B25.tif,0,1,12.47903155,2138.2108,14996.21819,FALSE
Final,June,B,In Situ_Final June__B19.tif,0,1,13.02742906,1805.884077,12056.28373,FALSE
Final,June,B,In Situ_Final June__B18.tif,0,1,32.07445934,979.0421184,2073.362001,FALSE
Final,June,B,In Situ_Final June__B30.tif,0,1,20.93916286,765.5113766,2890.372011,FALSE
Final,June,B,In Situ_Final June__B24.tif,0,1,7.069531295,306.0452691,4023.029126,FALSE
Final,June,B,In Situ_Final June__B20.tif,0,1,6.598071857,1014.596418,14362.56891,FALSE
Final,June,B,In Situ_Final June__B21.tif,0,1,22.52774666,327.1365894,1125.013039,FALSE
Final,June,B,In Situ_Final June__B23.tif,0,0,0,0,13198.59122,FALSE
Final,June,B,In Situ_Final June__B22.tif,0,1,1.482729392,135.820768,9024.365086,FALSE
Final,June,B,In Situ_Final June__B7.tif,0,1,8.115581459,380.0033178,4302.388445,FALSE
Final,June,B,In Situ_Final June__B6.tif,0,1,7.426782369,328.3249088,4092.498168,FALSE
Final,June,B,In Situ_Final June__B5.tif,0,1,13.33231749,1944.191148,12638.35347,FALSE
Final,June,B,In Situ_Final June__B1.tif,0,1,8.295897613,567.6067648,6274.410716,FALSE
Final,June,B,In Situ_Final June__B2.tif,0,1,0.370196635,31.4967552,8476.618176,FALSE
Final,June,B,In Situ_Final June__B3.tif,0,1,0.711981089,63.62811968,8873.142908,FALSE
Initial,July,A,In Situ_Initial _July_A5.tif,0,1,23.99610537,256.090912,811.1277389,FALSE
Initial,July,A,In Situ_Initial _July_A28.tif,0,1,43.1684596,798.6728576,1051.457689,FALSE
Initial,July,A,In Situ_Initial _July_A14.tif,0,1,0.324398948,4.27507328,1313.569299,FALSE
Initial,July,A,In Situ_Initial _July_A15.tif,0,0,0,0,1527.998921,FALSE
Initial,July,A,In Situ_Initial _July_A29.tif,0,1,16.30649234,210.248032,1079.103642,FALSE
Initial,July,A,In Situ_Initial _July_A4.tif,0,1,0.498938224,26.92325376,5369.18642,FALSE
Initial,July,A,In Situ_Initial _July_A6.tif,0,1,12.90294505,119.9339629,809.5744742,FALSE
